PROBEID	LowvsGlass_FC	LowvsGlass_pval
11733872_x_at	-1.790777735	1.05E-11
11719956_x_at	1.769869832	1.08E-11
11755817_s_at	-1.788526903	1.09E-11
11727145_s_at	-1.933612061	1.10E-11
11758639_s_at	1.612164285	1.11E-11
11719533_a_at	1.852240588	1.14E-11
11723711_at	-1.768047313	1.15E-11
11743096_at	-2.033222779	1.20E-11
11715431_a_at	-1.956958312	1.20E-11
11726601_s_at	1.729873083	1.22E-11
11717152_x_at	1.735652802	1.24E-11
11716187_a_at	2.003738802	1.26E-11
11716459_at	1.989116991	1.26E-11
11718930_a_at	-1.947191539	1.26E-11
11715467_s_at	1.994946567	1.27E-11
11743989_a_at	1.811983775	1.28E-11
11736030_a_at	-2.808143089	1.29E-11
11715301_s_at	1.908378271	1.32E-11
11738414_a_at	-2.060731648	1.32E-11
11717560_at	-2.057782716	1.32E-11
11732374_x_at	-1.861011613	1.32E-11
11749912_x_at	1.818286047	1.32E-11
11743774_a_at	-1.962004737	1.32E-11
11746562_x_at	-2.427391305	1.33E-11
11725912_a_at	-2.701533535	1.33E-11
11719012_at	-1.813457686	1.35E-11
11752939_x_at	-1.707262052	1.35E-11
11718422_s_at	-1.722529174	1.39E-11
11756301_x_at	1.953746343	1.39E-11
11750355_a_at	2.720589182	1.41E-11
11742971_s_at	-3.372079671	1.42E-11
11717652_s_at	-2.464174103	1.45E-11
11738073_s_at	-2.464174103	1.45E-11
11727477_at	-1.743418134	1.46E-11
11725046_a_at	-1.948596525	1.46E-11
11731661_s_at	-2.274404134	1.47E-11
11752942_s_at	-2.213654604	1.48E-11
11715466_at	2.337607412	1.49E-11
11718767_x_at	1.891816641	1.49E-11
11730737_a_at	1.678597927	1.52E-11
11735676_a_at	2.248834407	1.53E-11
11744236_a_at	-2.640055934	1.55E-11
11755206_x_at	1.68013652	1.56E-11
11746523_x_at	-2.023371088	1.57E-11
11757278_x_at	-1.717122029	1.60E-11
11725003_s_at	-1.766424504	1.61E-11
11755205_a_at	1.760011196	1.62E-11
11754334_s_at	-1.878710178	1.67E-11
11744376_a_at	-1.973618136	1.69E-11
11753357_a_at	-3.678204885	1.69E-11
11747961_a_at	-2.358345183	1.70E-11
11756297_x_at	-1.679220696	1.71E-11
11721704_a_at	-1.983080241	1.74E-11
11758627_s_at	-1.723716099	1.74E-11
11726459_at	-2.046656345	1.74E-11
11756739_a_at	-1.868702455	1.75E-11
11731892_a_at	-2.649908658	1.75E-11
11718926_a_at	-2.318088898	1.75E-11
11739516_at	1.662948231	1.76E-11
11720033_s_at	-2.089552838	1.77E-11
11748766_a_at	-1.954981244	1.77E-11
11732212_at	-1.789704135	1.78E-11
11732218_x_at	1.761596534	1.80E-11
11715674_s_at	-1.999560353	1.84E-11
11723633_s_at	-1.670913883	1.84E-11
11745506_s_at	-1.769090175	1.84E-11
11725366_s_at	-2.09768799	1.85E-11
11749376_a_at	2.041835744	1.89E-11
11729386_s_at	-1.848256919	1.92E-11
11754624_a_at	-1.740542913	1.95E-11
11749307_x_at	-1.789942314	1.99E-11
11728718_a_at	-2.790724723	2.02E-11
11750969_a_at	-1.700064474	2.03E-11
11754856_a_at	1.653607358	2.05E-11
11723551_x_at	1.722630989	2.06E-11
11739766_at	-2.051876865	2.06E-11
11748565_a_at	1.721058315	2.09E-11
11717046_at	-2.43190518	2.10E-11
11715698_a_at	1.703109778	2.13E-11
11740518_a_at	-1.687780853	2.17E-11
11734201_s_at	2.117510977	2.18E-11
11746997_x_at	1.8514116	2.20E-11
11726271_a_at	-1.648148929	2.22E-11
11719837_a_at	-1.729778062	2.24E-11
11746469_x_at	-1.698831446	2.24E-11
11717039_a_at	-1.654807381	2.25E-11
11753823_a_at	-2.301254229	2.26E-11
11727617_a_at	-2.417945947	2.28E-11
11758216_s_at	-1.68154122	2.34E-11
11744454_a_at	-1.81687646	2.36E-11
11725371_s_at	-2.273004488	2.38E-11
11737760_s_at	-1.72414844	2.46E-11
11754040_a_at	-1.758829279	2.47E-11
11740980_x_at	-1.797709789	2.53E-11
11728093_a_at	-1.808290167	2.56E-11
11716397_a_at	-1.581765654	2.58E-11
11733115_a_at	-2.667473857	2.61E-11
11716083_a_at	1.602618292	2.65E-11
11740681_a_at	-1.886813369	2.69E-11
11755860_a_at	1.704534729	2.71E-11
11749393_a_at	-1.799257175	2.82E-11
11755876_a_at	1.61114235	2.84E-11
11732437_at	-2.021233556	2.85E-11
11746069_a_at	-1.814281773	2.86E-11
11729888_a_at	-1.731085498	2.86E-11
11717729_a_at	-1.787209114	2.88E-11
11724413_s_at	-2.278897028	2.90E-11
11718610_at	-1.881430011	2.92E-11
11744321_a_at	-2.380939011	2.94E-11
11717400_a_at	1.665860532	2.96E-11
11757903_s_at	-2.149437736	3.00E-11
11749830_a_at	1.663003446	3.04E-11
11747952_x_at	1.754181569	3.05E-11
11756770_x_at	-2.534705332	3.07E-11
11726321_a_at	-1.880037369	3.08E-11
11718255_at	1.798940949	3.08E-11
11756520_x_at	-1.584567843	3.18E-11
11744683_s_at	1.614278374	3.19E-11
11724066_s_at	-2.074341284	3.32E-11
11716665_s_at	1.786108197	3.33E-11
11720240_at	-1.920246465	3.33E-11
11727239_a_at	1.692439798	3.37E-11
11716196_x_at	-1.659717611	3.37E-11
11738247_a_at	-1.984767976	3.48E-11
11733982_a_at	-2.36332247	3.49E-11
11717720_a_at	-2.234142341	3.49E-11
11721204_a_at	-2.053084582	3.51E-11
11720503_a_at	1.712921163	3.55E-11
11726812_a_at	1.70423676	3.60E-11
11759760_s_at	2.035835287	3.62E-11
11725093_a_at	-1.646619794	3.62E-11
11720427_a_at	-1.758471247	3.64E-11
11729172_s_at	1.593054319	3.70E-11
11717161_at	-1.878880997	3.70E-11
11717741_x_at	1.666008437	3.78E-11
11729917_at	-2.023795592	3.82E-11
11757958_s_at	-1.95386115	3.84E-11
11717151_s_at	1.652017423	3.84E-11
11754631_x_at	-2.672050882	3.88E-11
11721601_s_at	-3.065961149	3.91E-11
11725097_s_at	1.683473533	3.94E-11
11757802_s_at	-2.506840296	3.94E-11
11720859_s_at	1.99516846	3.95E-11
11757585_x_at	-1.54712528	3.97E-11
11716826_a_at	2.035085695	4.01E-11
11720209_at	-1.992921655	4.05E-11
11725098_s_at	1.694221384	4.07E-11
11720947_x_at	1.635129921	4.07E-11
11719067_s_at	-1.844398216	4.09E-11
11758943_s_at	-2.000409536	4.15E-11
11741629_a_at	1.817608623	4.18E-11
11757102_a_at	1.809873535	4.18E-11
11754103_s_at	1.56110911	4.21E-11
11721649_a_at	1.725893556	4.22E-11
11722128_at	-1.956023865	4.24E-11
11740278_s_at	-1.765615402	4.29E-11
11756621_a_at	-1.687989705	4.30E-11
