	C1	C2	C3	RA1	RA2	RA3	low
RP11-109E24.1	0.984668247911376	1.46074258072719	1.24697876599835	0.651264711254521	0.784215036228994	1.34548020523597	0.280949500833296
AC010883.5	1.11591583103055	1.24697876599835	1.28539143417813	0.486988848897408	1.30699868718118	0.784215036228994	0.279624292252932
IRF6	1.11591583103055	1.51553631170324	1.05580552698656	0.784215036228994	1.12691317457364	1.34548020523597	0.278800252369151
GPR89B	1.13684416403195	1.02618531704176	1.52567499714602	1.30699868718118	1.52567499714602	0.984668247911376	0.277257821135109
BCDIN3D-AS1	1.18695069651386	1.51553631170324	0.984668247911376	0.784215036228994	1.30699868718118	1.40555602074844	0.274932690263901
SNPH	1.25646308812664	1.18695069651386	1.18695069651386	2.08012845382048	1.92599381085735	1.86598896074442	0.274629436069925
LINC00115	1.04486109044475	1.24697876599835	1.35620314116122	0.904746356797771	1.24697876599835	0.854621701571836	0.273773781692969
KB-1980E6.3	1.46562049846708	1.57558705527592	0.763269723907166	1.18695069651386	1.34548020523597	1.46562049846708	0.272555308969934
PHKG1	1.04486109044475	1.05580552698656	1.59632887353456	1.58572066645096	1.24697876599835	1.58572066645096	0.272137727663948
NOTCH2	1.25646308812664	1.3265187257976	1.05580552698656	2.56490870463359	2.49521897538573	1.70578929451543	0.271785817955725
IL7	1.46562049846708	0.723869050210676	1.65634341440376	0.177023418598859	0.320181213226118	0.397790383700217	0.271104682397195
MSH4	1.11591583103055	1.3265187257976	1.18695069651386	0.784215036228994	1.05580552698656	0.914858917414016	0.271044421945664
CTD-2132N18.2	1.18695069651386	1.18695069651386	1.24697876599835	1.05580552698656	0.59048943149272	0.914858917414016	0.270985639312837
PALM3	1.13684416403195	1.46074258072719	1.05580552698656	0.486988848897408	0.537606003508436	1.24697876599835	0.270026863871978
TAS2R14	0.733998834673672	1.3265187257976	1.79526070575631	1.05580552698656	1.39582762567272	0.984668247911376	0.268562695012727
BTN1A1	0.914858917414016	1.93574640570065	0.984668247911376	0.486988848897408	1.34548020523597	0.397790383700217	0.26740692990521
CTC-523E23.4	1.38574790950074	1.12691317457364	1.11591583103055	1.46562049846708	1.39582762567272	1.05580552698656	0.267089803392912
CDC42BPG	1.38574790950074	0.975059047093975	1.28539143417813	2.45418647241381	1.39582762567272	2.14484432471905	0.265478029069197
ANKRD42	1.38574790950074	0.975059047093975	1.28539143417813	1.36701153457177	1.34548020523597	1.34548020523597	0.265478029069197
TBC1D3F	1.51553631170324	0.844503676238798	1.35620314116122	1.76581381655059	0.914858917414016	1.52567499714602	0.265192439514749
MIR590	0.914858917414016	1.39582762567272	1.35620314116122	0.651264711254521	1.05580552698656	0.854621701571836	0.264105088600467
OCEL1	1.18695069651386	1.57558705527592	0.924441641335794	3.01468419337496	1.64575848574071	2.02478854784886	0.263267877071548
RP11-434B12.1	1.46562049846708	1.05580552698656	1.11591583103055	1.18695069651386	1.64575848574071	1.34548020523597	0.262694641544663
SLC35F3	0.984668247911376	1.24697876599835	1.40555602074844	0.177023418598859	0.537606003508436	0.854621701571836	0.262429165551693
RP11-16E18.3	2.01543559243054	1.02618531704176	0.832848834549151	1.46562049846708	0.914858917414016	1.05580552698656	0.261503179081812
GS1-124K5.3	0.984668247911376	1.05580552698656	1.65634341440376	1.30699868718118	1.81084152889585	1.75569356743829	0.2613518625073
C19orf71	1.18695069651386	1.12691317457364	1.28539143417813	1.52567499714602	2.26488127701601	1.46562049846708	0.26061471245118
CTD-2583A14.11	1.64575848574071	1.12691317457364	0.924441641335794	2.56490870463359	1.18695069651386	1.86598896074442	0.259261051046329
HNRNPCP1	1.3265187257976	1.39582762567272	0.924441641335794	1.36701153457177	0.784215036228994	1.46562049846708	0.258473328106136
