	C1	C2	C3	RA1	RA2	RA3	high
RPL6	881.978246206554	819.166059605765	807.80840148946	638.034367938713	692.205425492903	766.75808696585	9.70682691134759
TTC3	870.095217660437	791.810470920893	845.452718975202	781.998929172309	766.75808696585	726.44526423703	9.7058736932392
XRCC5	804.158365636762	845.452718975202	839.561165998116	655.412637278953	752.362285798339	785.07286137764	9.69613590847342
DDX17	785.07286137764	776.207816128059	928.751907276683	825.803855756319	912.655001533744	896.309085828178	9.69204378425551
HSP90AA1	912.655001533744	850.583359896555	705.821148344293	1399.26164515861	776.207816128059	633.389998485407	9.67646448659397
EIF4G2	825.803855756319	781.998929172309	819.166059605765	969.552242160029	1055.07903622075	1002.09526404838	9.6595634325032
PPIA	766.75808696585	857.191779733274	795.779729422038	554.054179418142	726.44526423703	759.799639124761	9.65410907074171
HMGB1	807.80840148946	839.561165998116	766.75808696585	525.705485228515	681.620341517567	723.421450286259	9.65132954457835
ENO1	772.097812464072	795.779729422038	825.803855756319	804.158365636762	791.810470920893	969.552242160029	9.63950683324567
SET	791.810470920893	804.158365636762	772.097812464072	533.984330951023	649.058571810812	692.205425492903	9.62432899492138
CENPF	819.166059605765	726.44526423703	759.799639124761	776.207816128059	690.147615228492	652.797725295264	9.58406587877527
ADRBK2	781.998929172309	766.75808696585	752.362285798339	819.166059605765	850.583359896555	819.166059605765	9.58297807019827
YWHAQ	752.362285798339	807.80840148946	729.472790852775	585.132971288447	652.797725295264	705.821148344293	9.57462113954586
CANX	692.205425492903	785.07286137764	791.810470920893	733.874184973557	785.07286137764	807.80840148946	9.56025017296409
NCL	741.136831031144	746.771163820552	776.207816128059	649.058571810812	587.131676086076	585.132971288447	9.5594725572355
RPS8	746.771163820552	759.799639124761	733.874184973557	591.335643179435	655.412637278953	697.843972545512	9.54446218839019
SPTBN1	726.44526423703	719.461207542632	785.07286137764	1014.36952291005	969.552242160029	850.583359896555	9.5373887077211
LDHB	705.821148344293	752.362285798339	723.421450286259	478.938023216597	579.760123615558	610.264768698949	9.50571171169472
PRKDC	759.799639124761	692.205425492903	726.44526423703	850.583359896555	685.721088076863	568.700271458525	9.50308064803263
CALM2	690.147615228492	772.097812464072	709.07823244438	613.687234775247	804.158365636762	825.803855756319	9.49773399176639
RPL3	729.472790852775	715.660708188406	711.427001590563	690.147615228492	572.640198429326	685.721088076863	9.48947141391603
RPS4X	719.461207542632	741.136831031144	690.147615228492	542.623087231553	598.535483376915	645.250325480426	9.48504345470624
EML4	681.620341517567	690.147615228492	746.771163820552	601.565803722326	731.670178323175	672.226596644603	9.46270271714782
HSPD1	723.421450286259	705.821148344293	685.721088076863	499.574637740803	525.705485228515	554.054179418142	9.46110983123478
HNRNPU	733.874184973557	662.851474155466	719.461207542632	709.07823244438	645.250325480426	617.510949442326	9.4609012865727
CSDE1	715.660708188406	723.421450286259	672.226596644603	610.264768698949	672.226596644603	655.412637278953	9.45820944776668
RPL5	697.843972545512	709.07823244438	678.090416344552	539.129843720991	596.910682752533	642.008982753059	9.4406318466485
CBX5	776.207816128059	678.090416344552	629.132225641622	921.815033905729	624.58114382963	572.640198429326	9.43428414896186
SOX11	711.427001590563	667.407738121966	681.620341517567	726.44526423703	617.510949442326	601.565803722326	9.42327370167689
RPL19	672.226596644603	711.427001590563	667.407738121966	560.866029147356	613.687234775247	621.637370484217	9.41660011288167
DDX5	629.132225641622	645.250325480426	781.998929172309	759.799639124761	759.799639124761	746.771163820552	9.41398580922074
RPS18	655.412637278953	729.472790852775	662.851474155466	506.410950448466	610.264768698949	596.910682752533	9.41317062232514
HNRNPK	662.851474155466	685.721088076863	692.205425492903	621.637370484217	697.843972545512	719.461207542632	9.40969211643116
RPL7	678.090416344552	697.843972545512	642.008982753059	475.948423006431	560.866029147356	624.58114382963	9.39284807154033
HIST1H1B	709.07823244438	655.412637278953	649.058571810812	564.033306697227	591.335643179435	681.620341517567	9.38942184757898
HNRNPH1	645.250325480426	613.687234775247	741.136831031144	577.263284491539	723.421450286259	709.07823244438	9.37622367663759
ILF3	624.58114382963	629.132225641622	715.660708188406	697.843972545512	642.008982753059	574.508126497906	9.35569887342983
MCM7	617.510949442326	649.058571810812	697.843972545512	502.234197615874	574.508126497906	557.062023430195	9.35309548986812
RPL13	685.721088076863	642.008982753059	624.58114382963	582.267762327528	554.054179418142	629.132225641622	9.34489098588679
RPL10	642.008982753059	638.034367938713	652.797725295264	572.640198429326	633.389998485407	640.015413790863	9.33147740666408
NUCKS1	652.797725295264	652.797725295264	621.637370484217	527.91951649725	568.700271458525	598.535483376915	9.32697128846522
HNRNPC	621.637370484217	681.620341517567	613.687234775247	457.169176672041	546.047473058438	577.263284491539	9.31803792330369
TOP2A	667.407738121966	601.565803722326	638.034367938713	606.764008493792	601.565803722326	667.407738121966	9.31083122633882
EIF4B	649.058571810812	621.637370484217	633.389998485407	465.389425456977	498.382743350164	522.747148496154	9.3096948554592
TCF4	638.034367938713	610.264768698949	655.412637278953	513.023022775173	585.132971288447	591.335643179435	9.30901383378242
RPS3	633.389998485407	640.015413790863	606.764008493792	477.085034477011	579.760123615558	582.267762327528	9.29130160609062
TBX3	613.687234775247	624.58114382963	640.015413790863	845.452718975202	928.751907276683	839.561165998116	9.29002260311349
PRSS12	583.698608749571	617.510949442326	645.250325480426	587.131676086076	731.670178323175	649.058571810812	9.26437196036825
TMSB10	587.131676086076	672.226596644603	587.131676086076	546.944427249838	667.407738121966	662.851474155466	9.26262812644181
RPL37A	596.910682752533	633.389998485407	610.264768698949	453.426662384629	638.034367938713	588.692783599254	9.2605376779837
ELAVL4	640.015413790863	598.535483376915	596.910682752533	545.151989815058	705.821148344293	715.660708188406	9.25620902381955
DHX9	606.764008493792	577.263284491539	588.692783599254	523.592342651833	533.984330951023	542.623087231553	9.20648283085174
RPL15	610.264768698949	587.131676086076	572.640198429326	448.398471344106	475.948423006431	519.98349911632	9.20410563848208
RPL32	583.698608749571	606.764008493792	570.004502079289	440.722184036993	527.91951649725	533.984330951023	9.19630034154788
SFRP1	555.694020668562	596.910682752533	598.535483376915	652.797725295264	741.136831031144	690.147615228492	9.18827037921173
ATP5B	588.692783599254	591.335643179435	568.700271458525	442.603300980976	501.016790388631	549.128315292037	9.18690974805346
