Gene,pval,qval
Htr3a,0.000257522,0.000964061
Ing2,0.00025812,0.00096609
D630023F18Rik,0.000259233,0.000970044
Ccdc130,0.000259513,0.00097088
Dok7,0.000259772,0.000971636
Zfp133-ps,0.000260505,0.000974167
Arhgap24,0.000260793,0.000975031
Sav1,0.000261411,0.000977128
RP23-383K24.3,0.000261641,0.000977774
Pon3,0.000261795,0.000978135
Lats2,0.000264114,0.000986586
Rab11fip3,0.00026447,0.000987699
Lca5,0.000265695,0.000992059
Zswim3,0.000266094,0.000993332
Sema6a,0.00026649,0.000994593
RP23-423B1.6,0.000267245,0.000997197
Mafb,0.000267713,0.000998723
Kif18b,0.000269052,0.001003499
S100a5,0.000270142,0.001007348
Dusp28,0.000271607,0.001012588
Gm13461,0.000273647,0.001019974
Rpl34-ps1,0.000275611,0.001027069
Acaca,0.000275815,0.001027609
Rad50,0.000276306,0.001029212
Svop,0.000276547,0.001029668
ZNF383,0.000276548,0.001029668
Lipt1,0.000277337,0.001032154
Dmwd,0.00027731,0.001032154
Atg2b,0.000277551,0.001032728
Gm13910,0.000277869,0.001033687
Rbp7,0.000278587,0.001036133
Izumo4,0.000279018,0.001037511
Sdccag8,0.000279942,0.001040269
9130019O22Rik,0.000279896,0.001040269
Ibtk,0.000279883,0.001040269
Spink14,0.000280483,0.001042056
Foxk1,0.000284022,0.001054937
Lrrc75a,0.000284073,0.001054937
Gm21811,0.000285056,0.001058356
Trim12c,0.00028523,0.001058771
Birc3,0.000286807,0.001064311
Hmbox1,0.000286846,0.001064311
Defa24,0.000287132,0.00106514
Gap43,0.000287221,0.001065239
Gm17040,0.0002874,0.001065673
Trim24,0.000288605,0.001069912
Gpr27,0.00028882,0.001070476
Nfam1,0.000290199,0.001075353
Angpt1,0.000290325,0.001075589
Phlpp2,0.000291384,0.001079281
Uckl1os,0.000292169,0.001081954
Dip2c,0.000292964,0.001084661
Ccl27a,0.000293042,0.001084719
Gm13680,0.000293625,0.001086639
Smc1a,0.000295132,0.001091981
Acsl1,0.000295406,0.001092761
Gm28989,0.000296032,0.001094839
Faddos,0.000297287,0.001099181
Kif3c,0.000297334,0.001099181
Pnck,0.000299148,0.001105649
Atg9a,0.000300083,0.001108863
Tcirg1,0.000301969,0.001115592
Inpp4a,0.000302311,0.001116617
Sema3d,0.000302905,0.001118571
Calhm2,0.000303397,0.001120143
Smpdl3b,0.000303757,0.001121232
Slc25a25,0.000303897,0.001121508
Trp53i11,0.000305161,0.001125931
Prrc2a,0.000306113,0.0011292
Ep300,0.000306545,0.001130549
Cd44,0.000306769,0.001130888
Chst13,0.000306725,0.001130888
D830030K20Rik,0.000309287,0.001139927
Slc2a12,0.000310037,0.001142446
Bmp2k,0.000310161,0.001142656
Col4a5,0.000310649,0.00114421
Rtel1,0.000311091,0.001145345
Gm29542,0.000311062,0.001145345
Aph1b,0.00031158,0.001146897
Ddx58,0.000311808,0.001147492
Chd3,0.000312223,0.00114877
Usp27x,0.00031327,0.001152377
Gm10451,0.000315053,0.001158688
Pdzk1,0.000316505,0.001163743
Rnu2-10,0.000316564,0.001163743
Caskin1,0.000317585,0.001167248
Adrbk1,0.000317762,0.001167649
Zfp180,0.000317882,0.001167839
Gm14703,0.00031823,0.001168866
Rad51c,0.00031908,0.001171737
Bdp1,0.00031958,0.001173322
Ppp1r26,0.000321593,0.001180461
0610038B21Rik,0.000323163,0.00118597
A730071L15Rik,0.000326057,0.001196331
Ces5a,0.000326255,0.001196587
Ifit1,0.000326266,0.001196587
G6pc,0.000326847,0.001198464
Kif1a,0.000327085,0.001199079
RP23-413K6.4,0.000327288,0.001199566
Smoc1,0.000327443,0.001199879
Etohi1,0.000329416,0.001206848
Igfbp5,0.000330807,0.001211685
Adcy6,0.000331039,0.001212279
Smpdl3a,0.000331676,0.001214352
Tgm1,0.000332076,0.001215556
Vash2,0.000332747,0.001217544
Pgam2,0.000332761,0.001217544
Fmn1,0.000333708,0.001220746
Scd3,0.000334949,0.001225024
Tns1,0.000335074,0.001225221
E2f7,0.000335497,0.001226507
2310043L19Rik,0.000335702,0.001226928
Tcte1,0.000335755,0.001226928
Zfp955a,0.000335936,0.001227326
Plcd1,0.000336811,0.00123026
Kcnh1,0.000337371,0.001232045
Pank4,0.000337888,0.001233408
Setbp1,0.000337821,0.001233408
Ccdc112,0.000337992,0.001233524
Nrbp2,0.000339321,0.00123811
Hddc3,0.000339468,0.001238384
D430040D24Rik,0.000339621,0.001238678
Cox4i2,0.000340522,0.001241698
Cldn18,0.000341343,0.001244427
Lasp1,0.000342278,0.00124757
Gm26577,0.000342652,0.001248669
Fbxw7,0.000343168,0.001250285
Glyctk,0.000344202,0.001253784
Rbm12b2,0.000344461,0.001254462
Ercc6l2,0.0003457,0.001258705
Tmcc2,0.00034598,0.001259068
Bnipl,0.000346093,0.001259068
D11Wsu47e,0.000345905,0.001259068
Enthd1,0.000346093,0.001259068
Gns,0.000346416,0.001259975
Usp30,0.000346552,0.001260202
Chst3,0.000347145,0.001262092
Phactr4,0.000348123,0.00126538
Ptgdr,0.000348311,0.001265792
Sec16b,0.000350007,0.001271688
Sardhos,0.00035041,0.00127288
Dpp8,0.000350621,0.00127338
Il27ra,0.00035096,0.001274339
Zfp764,0.000352177,0.001278488
Inpp5d,0.000352523,0.001279471
Smpx,0.000352977,0.00128085
Stx16,0.000356677,0.001294002
Uchl1,0.000357776,0.001297715
Jazf1,0.000358812,0.001301195
Gm12258,0.000358906,0.001301262
Rab36,0.000359997,0.001304943
Wisp1,0.000361216,0.001309083
