Gene,pval,qval
Catsper2,0.448277808,0.606789181
Polr3c,0.448439643,0.606930664
Zfp947,0.448453144,0.606930664
Bet1,0.448491648,0.606934857
Pacrgl,0.448600187,0.607033818
Cstf2t,0.448671561,0.607082477
Tecpr2,0.448849109,0.607274777
Lck,0.448971447,0.607373182
Gm12352,0.448992706,0.607373182
4921514A10Rik,0.449361257,0.607823772
Tada1,0.449402153,0.607831127
Clpp,0.449480308,0.607888871
Hemgn,0.449575332,0.607946668
Acyp1,0.449593974,0.607946668
Ttll4,0.44970384,0.608047265
Arid1b,0.449814908,0.608149472
Nabp2,0.44997278,0.608266967
Dmxl1,0.449963484,0.608266967
Phax,0.45006344,0.608341546
Coq9,0.45019723,0.608474409
Nlrp9b,0.450400783,0.608701531
Tmem189,0.450465376,0.608740834
Ubfd1,0.45070115,0.609011438
Casp6,0.450901742,0.609234465
Ncs1,0.450952125,0.609254519
Arl5a,0.451087617,0.609389545
Pacsin3,0.451189853,0.609431602
Thsd7a,0.451165768,0.609431602
Mrpl50,0.451323799,0.609564494
Rhbdd2,0.451459891,0.609655254
Epn2,0.451462128,0.609655254
Map1lc3b,0.451629251,0.609832896
Kpna1,0.45168639,0.609862011
Elac2,0.451781623,0.609942552
Tsr3,0.452407116,0.610738918
Cul7,0.452485429,0.610796537
Aste1,0.452577926,0.610873292
Zbtb22,0.452875202,0.611226416
Psmb10,0.452973468,0.611310911
Banp,0.453064663,0.61138585
Pdia4,0.453127466,0.611422467
Rbbp4,0.453271322,0.611568438
Zfp106,0.453347916,0.61162364
Polr1d,0.453521684,0.611809924
Dstn,0.453584919,0.611847079
Usp38,0.453736863,0.61200388
Abcb9,0.453875058,0.612121096
Tubb5,0.453895184,0.612121096
Zkscan14,0.453954918,0.612153493
A530058N18Rik,0.454093672,0.612292435
Aup1,0.45416941,0.612331257
Vgll4,0.454193906,0.612331257
Maff,0.454241634,0.612347444
Vwa9,0.454319436,0.612404166
Mpv17l2,0.454453755,0.612537055
Coprs,0.454968696,0.613069217
Mpzl2,0.454936578,0.613069217
Loxl1,0.455063161,0.613069217
Gm12253,0.455063161,0.613069217
Slc35b3,0.454963141,0.613069217
Klhl1,0.455063161,0.613069217
Lsm10,0.455263772,0.613291284
Tm9sf1,0.455300899,0.613293102
Ugt1a7c,0.455504499,0.613418964
Nat14,0.455526705,0.613418964
Eef1d,0.455484211,0.613418964
D16Ertd472e,0.455537476,0.613418964
Manea,0.455709251,0.613505692
Tbc1d19,0.455681932,0.613505692
Ccdc71l,0.455699963,0.613505692
Nenf,0.455770727,0.613540271
Tsn,0.456097138,0.613781044
1110008P14Rik,0.456114813,0.613781044
Adck2,0.456113945,0.613781044
Thtpa,0.45599711,0.613781044
Lipk,0.456128615,0.613781044
Arpc3,0.456173328,0.613793029
Prpf19,0.456212266,0.613797242
Tmem116,0.456337328,0.613844195
Kdm8,0.456390402,0.613844195
Rnf180,0.456309438,0.613844195
Atp6ap1,0.456358881,0.613844195
Chfr,0.456532506,0.61398715
Mettl7a1,0.456574949,0.61399606
Otop1,0.456622792,0.614012229
Fancl,0.456770628,0.614162844
Ms4a6b,0.456821553,0.614183142
Cog6,0.456919954,0.614219092
Gm15751,0.456909402,0.614219092
Zfp513,0.456986251,0.614260042
Samd10,0.45705896,0.614309605
Pxk,0.45711996,0.614343422
Plin3,0.457278502,0.614469288
Srpk3,0.457285306,0.614469288
Gm9917,0.457639183,0.614896604
Scamp3,0.45769197,0.614919331
Vps52,0.457835213,0.615063576
Isoc2b,0.458077405,0.615292499
Klhl22,0.458071812,0.615292499
Gnl1,0.458159968,0.615354532
Rtn3,0.458195383,0.615354532
Trappc2l,0.458264034,0.615398517
Exosc2,0.45837539,0.615427993
Slc30a7,0.458410515,0.615427993
Elovl7,0.45842959,0.615427993
Taz,0.458421484,0.615427993
Tax1bp1,0.458511049,0.615489146
Vstm4,0.45856786,0.615517207
Tnfaip1,0.459035516,0.616096681
Prox1,0.459103121,0.616139177
Trbv15,0.459263964,0.616162078
Gt(ROSA)26Sor,0.459247488,0.616162078
1110007C09Rik,0.459193599,0.616162078
4930594M22Rik,0.459172272,0.616162078
Gm19744,0.459331858,0.616204939
Zcchc9,0.459513093,0.616399831
Abce1,0.459577171,0.616437548
Rnf13,0.459625838,0.61645459
G6pc2,0.459704597,0.616460631
Ikbip,0.459740961,0.616460631
Smarce1,0.45977419,0.616460631
Trim13,0.459732619,0.616460631
Gm28501,0.459892568,0.616490166
Vezt,0.459880483,0.616490166
Pnpo,0.459904109,0.616490166
Cstf2,0.460013318,0.616588341
Defb4,0.460076415,0.616624699
Neurl1b,0.460690075,0.617398896
Setd6,0.460807011,0.617459063
Nradd,0.46078582,0.617459063
Xiap,0.461237058,0.617986998
Mkks,0.461391289,0.618145328
Gm7964,0.461427644,0.618145723
Gclc,0.461617833,0.618352184
Plekha6,0.461726352,0.618428401
C230052I12Rik,0.461763298,0.618428401
Gm12265,0.461782962,0.618428401
Bnip1,0.462083003,0.618733544
Atl2,0.462064109,0.618733544
Naif1,0.4621936,0.618741161
Ccdc51,0.46214421,0.618741161
Rps28,0.462196976,0.618741161
Otulin,0.462276086,0.61879874
Gm15787,0.462376345,0.618884619
Bcs1l,0.462501892,0.618962671
Idh3b,0.462552634,0.618962671
Csnk2a2,0.462536756,0.618962671
Ccar1,0.462579091,0.618962671
Tubb6,0.462646623,0.619004715
Nfx1,0.462854462,0.619234464
Fndc5,0.462946068,0.619308685
Snx7,0.462992378,0.619322305
Elmod3,0.46306739,0.619346239
Atp5o,0.463082531,0.619346239
St6galnac4,0.463340689,0.619643165
Atg10,0.463446488,0.619736305
Ccng1,0.463548023,0.619823729
Il1f8,0.463859879,0.620192345
Sh3bp2,0.464008899,0.620343203
Gpx7,0.46418533,0.620482293
Mtus2,0.464180883,0.620482293
Alkbh2,0.464490451,0.620793334
Fahd1,0.464465173,0.620793334
Letmd1,0.464573126,0.620855424
Eid1,0.464617477,0.620866292
Slc35a3,0.464820207,0.621088782
Ctu1,0.46501223,0.621296932
Hspe1,0.465302823,0.621636739
Rrp8,0.465519202,0.621877351
Rspo4,0.465594479,0.621929444
Tkt,0.466162997,0.622640338
Inip,0.466372517,0.622752621
Tbc1d17,0.466373869,0.622752621
Gabpa,0.466392378,0.622752621
Slc22a7,0.466300896,0.622752621
Zfp467,0.466449629,0.62275923
Fbl,0.466469987,0.62275923
2810025M15Rik,0.4669901,0.623405054
Dbp,0.467090592,0.62349065
Vipas39,0.467206406,0.623596684
Cdr2,0.467411372,0.623821687
Tfip11,0.467648861,0.624010047
Cfl2,0.467661712,0.624010047
Gm8300,0.467621845,0.624010047
Klhl9,0.467739674,0.624027042
Gapdh,0.467747256,0.624027042
Mau2,0.467799064,0.624047591
Aqr,0.467944375,0.62413571
Eif2ak1,0.467939747,0.62413571
Abtb1,0.467974349,0.62413571
Cd5,0.468230956,0.624429364
AY358078,0.468343136,0.62453038
Lsm6,0.468386651,0.624539824
Abhd17b,0.46842579,0.62454343
Tmem255b,0.468759887,0.624940269
Abcb10,0.469327113,0.625599173
Glrx5,0.469300758,0.625599173
Gpr143,0.469520638,0.625808473
Gm15703,0.469660918,0.625946777
Setd5,0.46974345,0.626008102
Pcdhb19,0.469856263,0.626109769
Snx5,0.470357346,0.626468615
Dnajc19,0.470430547,0.626468615
Lpar1,0.470474008,0.626468615
Hspb8,0.470362042,0.626468615
Mgst1,0.470318729,0.626468615
Foxred1,0.470454519,0.626468615
Tmppe,0.470297517,0.626468615
Pxdc1,0.470394062,0.626468615
Senp1,0.470431494,0.626468615
Kansl2,0.470491014,0.626468615
Tmem261,0.470530368,0.626472355
Stoml2,0.470602064,0.62651915
Slc25a4,0.470665266,0.626554632
Irak1bp1,0.470870022,0.626778531
Olfr56,0.470966961,0.626810221
Ighv14-2,0.470953479,0.626810221
Prkrir,0.471057995,0.626882707
Mdm2,0.471145988,0.626951136
Mchr1,0.471383646,0.627218696
Pappa,0.471576776,0.62742697
Krt1,0.471730259,0.627582467
Plod3,0.471769279,0.627585672
Ddx47,0.472029583,0.627848581
Mboat4,0.472076791,0.627848581
Ict1os,0.472045361,0.627848581
Lrrc41,0.472151144,0.627898752
Seh1l,0.472598049,0.628444322
Gm28221,0.472635067,0.628444797
1200014J11Rik,0.472741409,0.628537442
Acox1,0.472782485,0.628543304
Tubgcp6,0.472990806,0.628722736
Lnpep,0.472972413,0.628722736
Tgm3,0.473379926,0.629191184
Dhtkd1,0.473570251,0.629200221
Trub2,0.473443615,0.629200221
Strn4,0.473540476,0.629200221
Gabarap,0.473548561,0.629200221
Hars,0.473494659,0.629200221
Fahd2a,0.473776688,0.629425714
Pigt,0.473926909,0.629576493
Med29,0.474133596,0.629802256
D430001F17Rik,0.474300913,0.62997569
6820408C15Rik,0.474490439,0.630136444
THAP6,0.474495463,0.630136444
Tasp1,0.474705868,0.630221529
Usp24,0.474810422,0.630221529
Ube3a,0.474680744,0.630221529
Gas8,0.474890415,0.630221529
Rdh5,0.47481964,0.630221529
Zc3h7a,0.474785511,0.630221529
Tsc2,0.474880817,0.630221529
Tmem241,0.474675199,0.630221529
Cdc23,0.474744013,0.630221529
Rchy1,0.475076832,0.630371317
Tomm20,0.475058048,0.630371317
Amfr,0.475339925,0.630573982
Zfp26,0.475327125,0.630573982
Slc25a20,0.475304335,0.630573982
Tuba3b,0.475426617,0.630640182
Alkbh3,0.475586934,0.630714407
Olig1,0.475530133,0.630714407
Pacs1,0.475592955,0.630714407
Acsl4,0.475639941,0.630727923
Zp3r,0.476375834,0.630874115
1500012F01Rik,0.476284241,0.630874115
Gm13857,0.476375834,0.630874115
Sae1,0.475822324,0.630874115
Foxi2,0.476375834,0.630874115
Tecta,0.476375834,0.630874115
Acyp2,0.47606242,0.630874115
Akap10,0.476078297,0.630874115
Gas2l2,0.476375834,0.630874115
Cd300ld,0.476375834,0.630874115
Ctage5,0.476198111,0.630874115
Serpina5,0.476375834,0.630874115
Psmg4,0.476093237,0.630874115
Pcdhb9,0.476375834,0.630874115
Actr1a,0.47627927,0.630874115
1700008I05Rik,0.476375834,0.630874115
Ppef1,0.476375834,0.630874115
Tm2d3,0.476625388,0.631155843
Gtf2a2,0.476799237,0.631308842
Rsph9,0.476814583,0.631308842
Adprh,0.476882183,0.631349582
Polr2e,0.476994971,0.631450135
Mrto4,0.477045163,0.631467813
Smndc1,0.477414725,0.631908209
Gtf3c3,0.477815186,0.632111121
Sestd1,0.477847142,0.632111121
Bloc1s6,0.477750086,0.632111121
Mos,0.477899903,0.632111121
Slfn1,0.477899903,0.632111121
Klc1,0.477839215,0.632111121
Gm9745,0.477899903,0.632111121
Rsl1,0.477776085,0.632111121
Fkbp11,0.477833953,0.632111121
Usf1,0.477938554,0.632113471
Lmo1,0.478097131,0.632274419
Cnot11,0.478298314,0.632394115
Man1b1,0.47826257,0.632394115
Tmem8,0.478273797,0.632394115
Gfpt1,0.478416325,0.632501361
Clptm1l,0.478489203,0.632548925
Mgea5,0.478752128,0.632847701
Tmem50a,0.478874651,0.63296085
Gnb2l1,0.478951031,0.633012997
Hspa1a,0.479148104,0.633224639
Acbd3,0.479533891,0.633637351
Gtf2e2,0.479534322,0.633637351
Kdf1,0.479660275,0.63371639
Rfwd3,0.479668076,0.63371639
Aip,0.479749415,0.633775005
Copg2,0.479810931,0.633807428
Tmem101,0.479876182,0.633844777
Mtdh,0.480012354,0.63397579
Agfg2,0.48036789,0.634396485
Denr,0.480441003,0.634444163
Rrm2b,0.48100138,0.635135238
Fundc1,0.481233357,0.635392606
Slc50a1,0.481324641,0.635415248
Usp19,0.481302345,0.635415248
Phgdh,0.481515252,0.635617931
Sesn2,0.481712559,0.635799716
Gm29387,0.481764235,0.635799716
Hist3h2a,0.481750869,0.635799716
Melk,0.48190547,0.63591921
Trmu,0.481928973,0.63591921
Tufm,0.482078752,0.636067885
Pcbp2,0.48230521,0.636317702
Grk6,0.482457606,0.636469777
Scyl2,0.482651882,0.636677073
Pyroxd1,0.482903949,0.636911556
Psmg1,0.482899124,0.636911556
Lsm14a,0.483102767,0.637124761
Pvrl3,0.483197945,0.63720126
Sec24d,0.483379147,0.637342153
Cdc34,0.483342515,0.637342153
Gfm1,0.483711203,0.637730921
Ap1ar,0.484042768,0.637968208
AI429214,0.484077265,0.637968208
2310045N01Rik,0.48393405,0.637968208
Fxyd6,0.483994063,0.637968208
Pno1,0.484060159,0.637968208
PCDHGB6,0.484406516,0.638353052
Fbxl12os,0.484462412,0.638377635
Znhit1,0.484544812,0.638437139
Ecsit,0.48470719,0.638602002
Fbxl4,0.484834181,0.638622064
Lbh,0.48481099,0.638622064
Magt1,0.484810543,0.638622064
Thumpd1,0.484900548,0.638629885
Edaradd,0.48491463,0.638629885
Ptges2,0.48510831,0.63883588
Pgs1,0.485328677,0.639076984
Mbd1,0.48551154,0.63926867
Psmc3ip,0.485758022,0.639544087
Zfp592,0.486240534,0.640130192
Sphk2,0.486290942,0.640143378
9330151L19Rik,0.486325237,0.640143378
Nedd4,0.486400753,0.64019362
Tmem27,0.486535133,0.640321325
Acadm,0.486779765,0.640594099
Ctnnb1,0.486977947,0.640805709
Apex2,0.48713462,0.640962669
Tomm5,0.487186167,0.640981294
Cd151,0.487582736,0.641404594
Ntpcr,0.487549828,0.641404594
Csnk1g2,0.487669335,0.641447753
Eci2,0.487690384,0.641447753
Med20,0.487973418,0.641770778
Serac1,0.488132705,0.641931018
Eftud1,0.488189295,0.641945172
Gm26775,0.488218364,0.641945172
Gnl3l,0.488632839,0.642440875
Tinagl1,0.488746518,0.642541054
Diablo,0.488838485,0.642612677
Hsd17b4,0.489009455,0.642788135
2810403A07Rik,0.489282741,0.643098049
Mrpl44,0.489428541,0.643240363
Pttg1ip,0.489704901,0.643554233
Haghl,0.4898095,0.643642349
Txn1,0.489917933,0.643715047
Pgp,0.489939926,0.643715047
Mvb12a,0.490276589,0.644058648
Selk,0.490253634,0.644058648
Tstd2,0.490503838,0.6443078
Bivm,0.490628156,0.644322979
Bbs2,0.490611736,0.644322979
Atp6v0d1,0.490563693,0.644322979
Psmd7,0.490969114,0.644721353
Bmi1,0.491022035,0.644741458
Mob1a,0.491292893,0.644998298
Uaca,0.491277192,0.644998298
Kpna4,0.491611417,0.645367048
Afg3l2,0.491772284,0.645479364
Btrc,0.491748847,0.645479364
Abhd11,0.491922589,0.645544531
Pirb,0.491906516,0.645544531
Tfam,0.491934909,0.645544531
Tmem2,0.49203078,0.645620915
Bmpr1a,0.492281713,0.645900736
Trf,0.492376338,0.645975447
Rae1,0.492462652,0.646039243
Tram1,0.492704915,0.646259907
Dusp19,0.492734724,0.646259907
Cluap1,0.492743962,0.646259907
Alg8,0.492803062,0.646287972
Sssca1,0.493211219,0.646773769
Cct3,0.493530109,0.647068508
Rab8b,0.493624716,0.647068508
Xcr1,0.493556779,0.647068508
Dazap2,0.493491302,0.647068508
Carhsp1,0.493600773,0.647068508
Kat7,0.493711103,0.647132263
Tprn,0.493923382,0.647321872
Zcchc17,0.493931285,0.647321872
Ccdc141,0.494302128,0.647708842
Cab39l,0.494264894,0.647708842
Trp63,0.494678586,0.648152589
Zfp874a,0.494717794,0.648154419
Atg9b,0.494766999,0.648169346
E130307A14Rik,0.49481488,0.648182537
9330104G04Rik,0.494931818,0.648187121
Sf3b3,0.494856318,0.648187121
Dlg1,0.494906654,0.648187121
Tyr,0.494997831,0.648224051
Styx,0.49512093,0.648335725
1110038B12Rik,0.495237685,0.648439077
Eif3j1,0.495470014,0.648693728
Parpbp,0.495603861,0.648781974
Lrfn4,0.495613111,0.648781974
Diap3,0.495685047,0.648826594
Tbc1d13,0.496115645,0.649241498
Tfpt,0.496114596,0.649241498
Ikzf5,0.49608334,0.649241498
Fermt1,0.49648939,0.649681002
Oma1,0.496555147,0.649717451
Mcoln1,0.496609328,0.649738749
Tmem229b,0.496663264,0.649759725
Fam98c,0.497090827,0.650269457
Bcl7b,0.497282978,0.65047118
Fubp1,0.497340955,0.65049738
Usp5,0.497379115,0.650497657
Phlda3,0.49756391,0.650689697
Nkain4,0.497716263,0.650839284
Rpl28,0.497943554,0.651086835
Stx17,0.49806292,0.65119324
Cpsf2,0.498193236,0.651313945
1700066N21Rik,0.498294616,0.651396805
Dctn4,0.498347896,0.651416779
Prmt2,0.49840609,0.651443172
Arl6ip4,0.498495844,0.651510808
Cebpzos,0.49876495,0.651812821
Npas3,0.498989528,0.6520566
Rnaset2b,0.499093618,0.652142907
RP23-16N14.2,0.499223745,0.652225518
B4galt5,0.499232938,0.652225518
Olfr908,0.49927251,0.652227509
Dtnbp1,0.499379249,0.652317236
Wnt4,0.499477237,0.652377343
Gm15895,0.499501378,0.652377343
Noa1,0.499929384,0.652886599
Dnah17,0.500013404,0.652946581
Dpy30,0.500093987,0.653002066
Aplnr,0.500222307,0.653119871
Hrh3,0.500304521,0.653177464
5830415F09Rik,0.500503794,0.65328836
Gpx1,0.500474535,0.65328836
Mrps18a,0.50045364,0.65328836
Rps6ka1,0.500665713,0.653398772
Hyal3,0.500626723,0.653398772
Dgcr2,0.500702734,0.653398772
Nudt8,0.5007778,0.653446986
Prpf18,0.500886111,0.653505353
Nit2,0.5009369,0.653505353
Ankrd22,0.500919896,0.653505353
Agfg1,0.500990841,0.653518299
2310039H08Rik,0.501023071,0.653518299
Cct8,0.501063367,0.653521132
Maged1,0.501389264,0.653896436
C130073F10Rik,0.501533117,0.653955552
Insr,0.501552508,0.653955552
Ap2b1,0.501529706,0.653955552
Ptcd2,0.50158719,0.653955552
Orc5,0.501731547,0.653976167
Gm10244,0.501793754,0.653976167
Ssbp4,0.501765243,0.653976167
Cfap20,0.501664337,0.653976167
Rnmt,0.501773118,0.653976167
Pfn2,0.502320444,0.65456306
Rimkla,0.502314759,0.65456306
Tceal3,0.502441194,0.65467064
Dnaja1,0.502594508,0.654712754
Wbp11,0.502594989,0.654712754
Nudcd2,0.502626289,0.654712754
Atxn3,0.502515954,0.654712754
Rgcc,0.502711398,0.654773861
Ankmy2,0.502898295,0.654917768
Gtpbp8,0.502861496,0.654917768
N4bp2l2,0.503095797,0.655125201
Rpl32,0.503265331,0.655196651
Rpl36al,0.503251409,0.655196651
Spaca6,0.503192728,0.655196651
Cse1l,0.503623082,0.655474016
Adam17,0.503611906,0.655474016
Dmgdh,0.503541763,0.655474016
Zbtb33,0.50363133,0.655474016
Mtmr3,0.503774095,0.655610046
Mthfd1,0.503883441,0.655702569
Rnf4,0.504048877,0.655819828
Ube2g1,0.504050066,0.655819828
Rac3,0.504093999,0.655827211
Cnppd1,0.504228523,0.655952443
Gm26720,0.504455347,0.656175321
Abhd4,0.504476406,0.656175321
Rpl30,0.504526302,0.65619043
Ppip5k2,0.504719208,0.656381834
2610002J02Rik,0.504750049,0.656381834
1700112D23Rik,0.504947037,0.65658819
Smyd2,0.505119509,0.656751767
1810043H04Rik,0.50514946,0.656751767
Trim3,0.505263084,0.656799863
Kat2b,0.505244587,0.656799863
Ipp,0.505331176,0.656838567
Ccdc120,0.505424415,0.656909949
Rragd,0.505551468,0.657025267
Mul1,0.505665314,0.657123403
Pa2g4,0.505839252,0.657249788
Trim23,0.505826029,0.657249788
Mtfr1l,0.5060304,0.657432172
A630023P12Rik,0.506184572,0.657432172
Myo1h,0.50625959,0.657432172
Dera,0.506188062,0.657432172
Hnrnpl,0.506132578,0.657432172
Dnajc14,0.506269877,0.657432172
Ammecr1l,0.506286437,0.657432172
Ablim1,0.506145196,0.657432172
RP23-125I14.2,0.506717564,0.657892334
Fut11,0.506712273,0.657892334
Otud5,0.507058502,0.658285128
Btaf1,0.507131041,0.658329444
Trp53i13,0.507306161,0.658506907
Aimp1,0.507407775,0.658588937
Tmem11,0.507793555,0.659025614
Zfp52,0.507821102,0.659025614
Olfr316,0.507912026,0.659093713
Ubxn6,0.507989639,0.65914453
Gpc4,0.508578823,0.659859082
Tmem110,0.508736773,0.660014059
Entpd6,0.508897367,0.660172444
Me2,0.508936792,0.660173628
Cops6,0.509059909,0.660233408
Gosr1,0.509054242,0.660233408
Snrpd2,0.509243755,0.660421883
Thumpd3,0.509320881,0.660471938
Slc19a1,0.509365029,0.660479223
Fam76a,0.509646823,0.660794632
Ddx56,0.509754811,0.66088466
Lrig2,0.509876234,0.660992089
Gskip,0.510024435,0.661134215
Klc4,0.510159648,0.661259485
Ly6g6d,0.510223735,0.66129255
Tlcd2,0.51027326,0.661306738
A930024N18Rik,0.510539869,0.661602241
2510003E04Rik,0.510670068,0.661720939
Aamp,0.51094004,0.662020723
Fbxw16,0.511030294,0.66208762
P2ry1,0.511123441,0.662138279
Rpl9-ps6,0.511146649,0.662138279
Epcam,0.511369118,0.662376411
Mgat1,0.511409107,0.662378157
Aldh16a1,0.51157383,0.662524365
Lysmd3,0.511599289,0.662524365
Golga7,0.511772821,0.662699025
Endog,0.511827013,0.662719137
Eri3,0.512270714,0.663002193
Kctd10,0.512202504,0.663002193
Ubc,0.512304208,0.663002193
Tyw1,0.512288534,0.663002193
BC064078,0.512264645,0.663002193
Fam103a1,0.512092687,0.663002193
Orai3,0.51231636,0.663002193
Tmem60,0.512390308,0.663047834
Galnt4,0.512483213,0.663067948
Ttll12,0.512446702,0.663067948
Tbc1d15,0.512746158,0.663358086
Rps23,0.512929006,0.663544564
Tmem216,0.512993991,0.663578554
Fbxo18,0.513441578,0.664107412
Asb2,0.5135682,0.664221072
Olfr96,0.513719522,0.664366657
Elmo3,0.513788521,0.664376161
Gm9817,0.513804385,0.664376161
Elof1,0.513886751,0.664432546
Plekha3,0.51407142,0.664611733
Erlin1,0.514102881,0.664611733
Iqca,0.514727915,0.665319403
Rnf181,0.514700582,0.665319403
Sirt7,0.514846621,0.665422662
Sirt4,0.514971168,0.665533457
Gm26873,0.515212762,0.66579549
Vdac3,0.515395651,0.665981626
Slc30a5,0.515776723,0.666423802
Ppp1r14d,0.515927907,0.666489428
Impad1,0.515983036,0.666489428
Gm26718,0.515901969,0.666489428
Emb,0.515953783,0.666489428
Pkdcc,0.516027001,0.666495995
Prosc,0.516067658,0.666498289
Commd7,0.516210237,0.666632205
Prg4,0.516298759,0.666666427
Noc4l,0.516357321,0.666666427
Cyp2r1,0.516370715,0.666666427
Actr6,0.5163923,0.666666427
Scaf4,0.516443788,0.666682688
Tardbp,0.516628262,0.666820396
Rps27a,0.51660041,0.666820396
Proser2,0.516840312,0.667043867
Tmem203,0.516967265,0.667085639
Dok2,0.516989424,0.667085639
Rpl39,0.516975829,0.667085639
St13,0.517264749,0.667390662
Glod4,0.517308017,0.667396253
Mdm4,0.517645601,0.66741178
Bmp7,0.517551738,0.66741178
Timm50,0.517523039,0.66741178
Epb4.1l2,0.517812156,0.66741178
Actr2,0.51756376,0.66741178
Stra13,0.517718696,0.66741178
Ipo4,0.51779687,0.66741178
Oplah,0.517788821,0.66741178
Pi4ka,0.517826197,0.66741178
Hrasls,0.517466529,0.66741178
Ermard,0.517713231,0.66741178
Ttc9c,0.517819801,0.66741178
Uty,0.517552116,0.66741178
Nampt,0.517938979,0.667506953
Dip2b,0.518049593,0.667599317
Rpl9,0.518115552,0.667634128
BC029722,0.518182163,0.667669772
Arl16,0.518272892,0.667736483
Chn1,0.518482414,0.667855841
Cpne3,0.518410245,0.667855841
Ago1,0.518459904,0.667855841
Prkab1,0.518643903,0.668013658
Mfge8,0.518723369,0.668015625
Mbip,0.518693416,0.668015625
Gria4,0.518796709,0.668059885
Ywhaq,0.519005848,0.668278993
Lypd6b,0.519096618,0.668345668
1110001J03Rik,0.519162665,0.668380504
Grpel1,0.519386192,0.668618062
Ftl2,0.51945471,0.668656051
Mettl13,0.519623522,0.668823127
Rbbp8,0.51967879,0.668844044
Rcn1,0.519951263,0.669144486
Mzt2,0.520018971,0.669181382
Pgam5,0.520102194,0.669188006
Rps25,0.520084145,0.669188006
Exoc1,0.520226377,0.669291091
Abcg2,0.520260401,0.669291091
Rps27l,0.520410139,0.669368896
Cdkn2aipnl,0.520418385,0.669368896
Zfp953,0.520477075,0.669368896
Hars2,0.520474412,0.669368896
Ackr1,0.520709151,0.669566895
Lztfl1,0.520708127,0.669566895
Gmppa,0.520883901,0.669741361
Oser1,0.520937606,0.669760177
Gpc1,0.521375841,0.670223072
Pycr1,0.521370677,0.670223072
Ddx31,0.521502858,0.670318339
Kdelr2,0.521606366,0.670318339
Pin1,0.521598989,0.670318339
Rps10,0.52156614,0.670318339
Rrn3,0.521749957,0.670452605
Rnf31,0.521992894,0.670714504
Cox19,0.522109814,0.670764178
Snap29,0.522083014,0.670764178
Psmd5,0.522181477,0.670805971
Gm17171,0.522328228,0.670917027
Gm26518,0.522346204,0.670917027
Rpl35a,0.522605389,0.671199639
Ap3m1,0.522814898,0.671418413
Rnf170,0.522989375,0.671541862
Gm10116,0.522982461,0.671541862
Trafd1,0.523490081,0.672084104
Bckdhb,0.523466529,0.672084104
B3gntl1,0.523752098,0.672370139
Tcn2,0.523881447,0.672444777
Maf1,0.523888694,0.672444777
Celf2,0.523994717,0.672530507
Atp5c1,0.524193251,0.672586572
Sort1,0.524154853,0.672586572
Erc1,0.52414108,0.672586572
Ube2s,0.524273817,0.672586572
Gm10132,0.524214708,0.672586572
Atf7ip2,0.524271762,0.672586572
Tmem43,0.524620926,0.67289329
Lamtor1,0.52464383,0.67289329
Dcun1d5,0.524614648,0.67289329
Krt19,0.524669917,0.67289329
Cep350,0.524857375,0.672926059
Eif3m,0.524779955,0.672926059
Kras,0.524891748,0.672926059
Psmg2,0.52481567,0.672926059
Fam122a,0.524771156,0.672926059
Prdx3,0.525244089,0.673327414
Uhmk1,0.525374578,0.673444329
Usp3,0.525454022,0.673495801
Alg2,0.525641424,0.673645652
Ist1,0.52564953,0.673645652
Gm11974,0.525699325,0.673659104
Arel1,0.525748691,0.673672003
Spg21,0.525899772,0.673804686
Txnrd1,0.525930854,0.673804686
Slc2a4,0.525972173,0.673807263
Gm24270,0.526022238,0.673821043
4933426M11Rik,0.52626497,0.674081605
Ier3ip1,0.526481456,0.674308512
Gm16279,0.526689285,0.674524298
Gm10550,0.526729755,0.674525733
Cebpg,0.5268826,0.674638982
Elp5,0.526896902,0.674638982
Ndrg2,0.527075118,0.674816766
Ssb,0.527119503,0.674823191
Mylip,0.527235028,0.674920682
Acap2,0.52734397,0.675009732
Ak6,0.527486073,0.675141212
H2afy,0.527746199,0.675322883
Iqgap2,0.527687462,0.675322883
N6amt2,0.527735451,0.675322883
Gm28364,0.528251278,0.675778569
Zfand2b,0.528294828,0.675778569
Clock,0.528252155,0.675778569
Ints4,0.528289319,0.675778569
Nae1,0.528299417,0.675778569
Nr2c2,0.528378733,0.675779172
Tmem55b,0.528365291,0.675779172
Cebpz,0.528712827,0.676105578
Epg5,0.528693922,0.676105578
Morf4l1,0.528846501,0.676226071
Tmem104,0.528994626,0.676365025
Stk36,0.529175515,0.676545844
1500011B03Rik,0.529426494,0.67681624
R3hdm1,0.529646327,0.676996297
Ccdc113,0.529628015,0.676996297
Zfp422,0.529750587,0.677028596
Eif4a1,0.529718173,0.677028596
RP23-410B24.2,0.529911146,0.677183306
Tmem65,0.530031369,0.677286451
Traf3ip1,0.530082736,0.677297556
Rpl10-ps3,0.530119082,0.677297556
Fam46b,0.530199352,0.677299149
Taf1d,0.530190065,0.677299149
D330023K18Rik,0.530525044,0.677563725
Itgb3bp,0.530517936,0.677563725
Slc7a6,0.530485354,0.677563725
9430041J12Rik,0.530665682,0.677642366
Plekhm1,0.530639326,0.677642366
Ppap2c,0.530800816,0.677764438
Sfn,0.530892836,0.677797139
Traf7,0.530905506,0.677797139
Gm16553,0.531086013,0.677977095
Slc25a41,0.531325306,0.678232065
Foxe1,0.531633501,0.678574942
Irf6,0.531839037,0.678685682
